Term,Description
📚,Emoji - Do not translate
🗂️,Emoji - Do not translate
📖,Emoji - Do not translate
🚀,Emoji - Do not translate
🛠️,Emoji - Do not translate
💾,Emoji - Do not translate
📝,Emoji - Do not translate
⬆️⬇️,Emoji - Do not translate
🔄,Emoji - Do not translate
💻,Emoji - Do not translate
🗺️,Emoji - Do not translate
🛣️,Emoji - Do not translate
🗽,Emoji - Do not translate
🔍,Emoji - Do not translate
🖥️,Emoji - Do not translate
🧠,Emoji - Do not translate
⚖️,Emoji - Do not translate
📸,Emoji - Do not translate
🌐,Emoji - Do not translate
🔗,Emoji - Do not translate
🐧,Emoji - Do not translate
📋,Emoji - Do not translate
🏗️,Emoji - Do not translate
🧪,Emoji - Do not translate
🌉,Emoji - Do not translate
🏢,Emoji - Do not translate
🤖,Emoji - Do not translate
📊,Emoji - Do not translate
🗃️,Emoji - Do not translate
🐱,Emoji - Do not translate
🔀,Emoji - Do not translate
🧹,Emoji - Do not translate
📏,Emoji - Do not translate
📥,Emoji - Do not translate
📤,Emoji - Do not translate
🚑,Emoji - Do not translate
🧰,Emoji - Do not translate
💽,Emoji - Do not translate
📦,Emoji - Do not translate
🔩,Emoji - Do not translate
🧱,Emoji - Do not translate
🔐,Emoji - Do not translate
🦺,Emoji - Do not translate
🔒,Emoji - Do not translate
🥤,Emoji - Do not translate
🔌,Emoji - Do not translate
🏋️,Emoji - Do not translate
🔭,Emoji - Do not translate
⚡,Emoji - Do not translate
🐳,Emoji - Do not translate
🚩,Emoji - Do not translate
🚪,Emoji - Do not translate
🌳,Emoji - Do not translate
👤,Emoji - Do not translate
📁,Emoji - Do not translate
💊,Emoji - Do not translate
🐚,Emoji - Do not translate
🏁,Emoji - Do not translate
🎯,Emoji - Do not translate
👑,Emoji - Do not translate
👷,Emoji - Do not translate
✈️,Emoji - Do not translate
☸️,Emoji - Do not translate
⎈,Emoji - Do not translate
☁️,Emoji - Do not translate
🤝,Emoji - Do not translate
📄,Emoji - Do not translate
📬,Emoji - Do not translate
🙏,Emoji - Do not translate
